DATE,DEXJPUS
2010-12-31,.
2011-01-03,81.5600
2011-01-04,81.9600
2011-01-05,83.2200
2011-01-06,83.1500
2011-01-07,83.0400
2011-01-10,82.7800
2011-01-11,83.3600
2011-01-12,83.2900
2011-01-13,82.7200
2011-01-14,82.9900
2011-01-17,.
2011-01-18,82.6600
2011-01-19,82.0300
2011-01-20,83.0200
2011-01-21,82.6300
2011-01-24,82.4400
2011-01-25,82.3500
2011-01-26,82.2700
2011-01-27,83.0300
2011-01-28,82.0300
2011-01-31,81.9700
2011-02-01,81.4800
2011-02-02,81.8200
2011-02-03,81.4800
2011-02-04,81.9900
2011-02-07,82.4000
2011-02-08,81.9200
2011-02-09,82.4700
2011-02-10,83.1100
2011-02-11,83.5200
2011-02-14,83.3200
2011-02-15,83.7900
2011-02-16,83.7300
2011-02-17,83.2500
2011-02-18,83.2200
2011-02-21,.
2011-02-22,82.9400
2011-02-23,82.3900
2011-02-24,81.6700
2011-02-25,81.7600
2011-02-28,81.9400
2011-03-01,81.8600
2011-03-02,81.6200
2011-03-03,82.4100
2011-03-04,82.3500
2011-03-07,82.1200
2011-03-08,82.6900
2011-03-09,82.7800
2011-03-10,82.9800
2011-03-11,81.7700
2011-03-14,81.6500
2011-03-15,80.8200
2011-03-16,80.1700
2011-03-17,78.7400
2011-03-18,81.1400
2011-03-21,81.1100
2011-03-22,81.0000
2011-03-23,80.9400
2011-03-24,80.8200
2011-03-25,81.1200
2011-03-28,81.6700
2011-03-29,82.3800
2011-03-30,82.9800
2011-03-31,82.7600
2011-04-01,84.0500
2011-04-04,83.9800
2011-04-05,84.6500
2011-04-06,85.2600
2011-04-07,84.9800
2011-04-08,84.9900
2011-04-11,84.5800
2011-04-12,83.7900
2011-04-13,83.5900
2011-04-14,83.2300
2011-04-15,83.1300
2011-04-18,82.4300
2011-04-19,82.4100
2011-04-20,82.5800
2011-04-21,81.8100
2011-04-22,81.9200
2011-04-25,81.9300
2011-04-26,81.9300
2011-04-27,82.6000
2011-04-28,81.5700
2011-04-29,81.3100
2011-05-02,81.2300
2011-05-03,81.0200
2011-05-04,80.6900
2011-05-05,80.1200
2011-05-06,80.5100
2011-05-09,80.6600
2011-05-10,80.7500
2011-05-11,80.7800
2011-05-12,80.7500
2011-05-13,80.7600
2011-05-16,80.8200
2011-05-17,81.3900
